id	name
BS01-001	ゴラドン
BS01-002	ロクケラトプス
BS01-003	テラノセイバー
BS01-004	ドラグノ偵察兵
BS01-005	アイバーン
BS01-006	メラット
BS01-007	ハンマドレイク
BS01-008	メタルバーン
BS01-009	ヴォルク・バブーン
BS01-010	チャクラムバット
BS01-011	ドラグサウルス
BS01-012	トライソードン
BS01-013	タウロスナイト
BS01-014	ドラグノ祈祷師
BS01-015	スピノアックス
BS01-016	スケルトン・ジョウ
BS01-017	ランスラプトル
BS01-018	リザードマン
BS01-019	ジュラシックル
BS01-020	翼刃竜スティラノドン
BS01-021	焔竜魔人マ・グー
BS01-022	大鎌フール・ジョーカー
BS01-023	原始鳥フェニキオス
BS01-024	晶輝龍ディアマット
BS01-025	要塞龍ギガ
BS01-026	フォッガー
BS01-027	ウィル・オーブ
BS01-028	スカルデビル
BS01-029	リブ・リーパー
BS01-030	グリプ・ハンズ
BS01-031	デス・ハーデス
BS01-032	ガウルム
BS01-033	ディザスター
BS01-034	バイ・パイソン
BS01-035	ボーン・グラディエイター
BS01-036	シャ・ズー
BS01-037	イリュージョナ
BS01-038	スケル・バイパー
BS01-039	怪人ディオネマン
BS01-040	ダークウィッチ
BS01-041	コブライガ
BS01-042	ミストウィゼル
BS01-043	ドラキュリウス
BS01-044	牛霊スモゥグ
BS01-045	切り裂きヘディレス
BS01-046	幻龍シェイロン
BS01-047	魔女ナージャ
BS01-048	吸血姫ヴァンピレス
BS01-049	幽騎士ナイトライダー
BS01-050	ビートビートル
BS01-051	フライングミラージュ
BS01-052	ペリリィフ
BS01-053	リーヴォルフ
BS01-054	ショックイーター
BS01-055	エメアント
BS01-056	マッチュラ
BS01-057	グラーバ
BS01-058	ヘラクレス・ジオ
BS01-059	シダフクロウ
BS01-060	イーグラス
BS01-061	エイプウィップ
BS01-062	ハングリートゥリー
BS01-063	エメラルドシーザー
BS01-064	ジガ・ワスプ
BS01-065	キリカブト
BS01-066	スタッグローブ
BS01-067	スワロウアイヴィー
BS01-068	風虎ティガルド
BS01-069	征空の翼アクィリーズ
BS01-070	月甲モノケイロス
BS01-071	爆進獣ブランボアー
BS01-072	ガウシルヴィア
BS01-073	極彩鳥ヴァルペルチャー
BS01-074	バーサーカー・ガン
BS01-075	アイスメイデン
BS01-076	レイ・ブレット
BS01-077	ベビー・ロキ
BS01-078	姫械マーニ
BS01-079	レインボウパピヨン
BS01-080	フェンリルキャノン
BS01-081	銀燐竜ニーズホッグ
BS01-082	ウル・ディーネ
BS01-083	ラビクリスタ
BS01-084	ガトリングスタンド
BS01-085	エレファンタイト
BS01-086	クイーン・ワルキューレ
BS01-087	メタルディー・バグ
BS01-088	タワーミットクラブ
BS01-089	デュアルキャノン・ベル
BS01-090	ヘル・ブリンディ
BS01-091	機人ラグーナ
BS01-092	空母鯨モビルフロウ
BS01-093	甲精ディース
BS01-094	グラン・ドルバルカン
BS01-095	鎧装獣ベア・ゲルミル
BS01-096	妖機妃ソール
BS01-097	飛龍ヴァルキュリウス
BS01-098	燃えさかる戦場
BS01-099	百識の谷
BS01-100	ルビーの太陽
BS01-101	古龍の縄張り
BS01-102	主無き古城
BS01-103	命を吸う沼
BS01-104	千本槍の古戦場
BS01-105	魔帝の墓標
BS01-106	隠されたる賢者の樹
BS01-107	命の果実
BS01-108	無限蟲の蟻塚
BS01-109	風吹く丘陵
BS01-110	時止まりの氷原
BS01-111	ダイヤモンドの月
BS01-112	千年雪の尖塔
BS01-113	侵食されゆく銀世界
BS01-114	バスタースピア
BS01-115	アウェイクン
BS01-116	オフェンシブオーラ
BS01-117	ダブルドロー
BS01-118	コールオブロスト
BS01-119	バーストファイア
BS01-120	バスターファランクス
BS01-121	フレイムダンス
BS01-122	フレイムテンペスト
BS01-123	リターンドロー
BS01-124	イビルオーラ
BS01-125	デッドリィバランス
BS01-126	シャドウエリクサー
BS01-127	キラーテレスコープ
BS01-128	カオスドロー
BS01-129	ポイズンシュート
BS01-130	チェンジングコア
BS01-131	ダークコフィン
BS01-132	ストームドロー
BS01-133	ワイルドパワー
BS01-134	バインディングソーン
BS01-135	パワーオーラ
BS01-136	ギャザーフォース
BS01-137	リレイションソウル
BS01-138	ハンドリバース
BS01-139	フェザーバリア
BS01-140	バインディングウッズ
BS01-141	インビジブルクローク
BS01-142	ピュアエリクサー
BS01-143	ディバインチェイン
BS01-144	サイレントウォール
BS01-145	ディフェンシブオーラ
BS01-146	ドリームリボン
BS01-147	ドリームチェスト
BS01-148	ラークドライブ
BS01-149	アタックシフト
BS01-X01	龍皇ジークフリード
BS01-X02	魔界七将デスペラード
BS01-X03	キングタウロス大公
BS01-X04	要塞皇オーディーン
BS02-001	リザドエッジ
BS02-002	ナイフ投げのジャグリーン
BS02-003	ディノハウンド
BS02-004	オルカリア
BS02-005	ドラグノ突撃兵
BS02-006	プテラトマホーク
BS02-007	昇龍バルムンク
BS02-008	フィスドラグーン
BS02-009	竜狩りのアーケオルニ
BS02-010	溶海竜プレシオス
BS02-011	ツヴァイ・ハウル
BS02-012	地龍王ケンドラゴス
BS02-013	バット・バット
BS02-014	ファンタズマ
BS02-015	ハンプダンプ
BS02-016	スライミー
BS02-017	マミーラ
BS02-018	悪魔スプラー
BS02-019	悪魔デースペル
BS02-020	レディ・フランケリー
BS02-021	髑髏騎士ズ・ガイン
BS02-022	魔界侯爵コキュートス
BS02-023	双蛇ヒュドラム
BS02-024	暗黒将軍ブラッディ・シーザー
BS02-025	シープル
BS02-026	マッハジー
BS02-027	カプリホルン
BS02-028	クロスシザース
BS02-029	バットホッパー
BS02-030	兵隊アントマン
BS02-031	スコルピード
BS02-032	ダッチョーノ
BS02-033	騎獣スレイプホース
BS02-034	老賢樹トレントン
BS02-035	漆黒鳥ヤタグロス
BS02-036	カイザレオン大帝
BS02-037	スフィアロイド
BS02-038	盾精ラングリーズ
BS02-039	神機ミョルニール
BS02-040	ロブスターク
BS02-041	ライオライダー
BS02-042	スクルディア
BS02-043	アルマ・ジール
BS02-044	魔砲神メガロック
BS02-045	装甲機竜ファーブニル
BS02-046	ウィンガル
BS02-047	機神官フレイ
BS02-048	竜戦車アースガルド
BS02-049	ピヨン
BS02-050	コリスタル
BS02-051	チュンポポ
