id	possess
BS01-001	1
BS01-002	1
BS01-004	1
BS01-011	1
BS01-017	1
BS01-025	2
BS01-036	1
BS01-057	1
BS01-059	2
BS01-062	1
BS01-063	1
BS01-100	1
BS01-104	1
BS01-110	1
BS01-117	2
BS01-123	1
BS01-125	4
BS01-135	1
BS01-138	4
BS01-144	2
BS01-X01	4
BS01-X03	1
BS02-001	1
BS02-005	1
BS02-006	1
BS02-007	1
BS02-010	1
BS02-024	1
BS02-026	1
BS02-028	1
BS02-029	1
BS02-051	1
BS02-052	1
BS02-054	1
BS02-055	1
BS02-058	5
BS02-060	1
BS02-068	1
BS02-069	1
BS02-072	1
BS02-080	1
BS02-084	2
BS02-092	2
BS02-093	1
BS02-095	1
BS02-108	4
BS02-X08	2
BS03-005	1
BS03-008	1
BS03-011	4
BS03-021	1
BS03-032	1
BS03-034	1
BS03-038	1
BS03-040	1
BS03-041	1
BS03-050	1
BS03-058	1
BS03-060	1
BS03-061	1
BS03-071	2
BS03-072	3
BS03-073	1
BS03-078	1
BS03-080	1
BS03-091	1
BS03-098	1
BS03-113	3
BS03-119	2
BS03-120	1
BS03-125	1
BS03-127	1
BS03-129	1
BS03-138	1
BS03-140	1
BS03-149	1
BS03-X11	1
BS04-006	1
BS04-013	1
BS04-015	1
BS04-024	1
BS04-026	1
BS04-030	1
BS04-034	1
BS04-047	3
BS04-048	3
BS04-063	3
BS04-064	1
BS04-065	1
BS04-072	1
BS04-077	2
BS04-082	6
BS04-094	1
BS04-098	5
BS04-100	1
BS04-111	1
BS04-X13	1
BS04-X16	4
BS05-001	2
BS05-002	1
BS05-006	1
BS05-014	1
BS05-037	3
BS05-040	1
BS05-042	1
BS05-044	1
BS05-045	1
BS05-059	1
BS05-064	2
BS05-074	1
BS05-080	2
BS05-084	1
BS05-X17	1
BS05-X18	1
BS06-003	1
BS06-006	1
BS06-007	1
BS06-008	1
BS06-013	3
BS06-016	1
BS06-021	1
BS06-023	1
BS06-038	1
BS06-042	1
BS06-049	3
BS06-054	2
BS06-060	3
BS06-066	3
BS06-068	1
BS06-072	1
BS06-073	4
BS06-075	1
BS06-076	2
BS06-077	1
BS06-081	1
BS06-084	1
BS06-087	7
BS06-089	1
BS06-092	3
BS06-096	2
BS06-X21	1
BS06-X24	1
BS07-001	3
BS07-004	2
BS07-010	1
BS07-013	1
BS07-020	1
BS07-022	1
BS07-023	1
BS07-025	1
BS07-034	1
BS07-040	1
BS07-042	1
BS07-048	1
BS07-059	1
BS07-060	2
BS07-076	1
BS08-001	1
